ID,Đại lý,Tên viết tắt,Phân loại đại lý,Đại lý mẹ,Tỉnh/Thành phố,Quận huyện,Địa chỉ,Quản lý,Có hiệu lực/Vô hiệu lực
171,HỘ KINH DOANH GAS HÙNG PHÁT ,ĐL-189HỘ KINH DOANH GAS HÙNG PHÁT ,Đại lý tổng,,Thành phố Hồ Chí Minh,Thành phố Thủ Đức,"73, Nguyễn Xiển , Phường Trường Thạnh",saleshcm,Có hiệu lực
172,CÔNG TY TNHH CÔNG NGHIỆP LIÊN ANH,ĐL-190CÔNG TY TNHH CÔNG NGHIỆP LIÊN ANH,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Thủ Dầu Một,"Số 73, đường ĐX 106, tổ 75, khu 9, Phường Hiệp An",,Có hiệu lực
173,CÔNG TY TNHH GAS PHOENIX (VIỆT NAM),ĐL-191CÔNG TY TNHH GAS PHOENIX (VIỆT NAM),Đại lý tổng,,Thành phố Hồ Chí Minh,Quận Phú Nhuận,"Số 456, Đường Phan Xích Long, Phường 02",,Có hiệu lực
174,Hộ Kinh Doanh Dương Văn Thành,ĐL-192Hộ Kinh Doanh Dương Văn Thành,Đại lý tổng,,Tỉnh Bình Dương,Thị xã Bến Cát,"Số 19 ấp Rạch Bắp, - Xã An Tây ",salesbd,Có hiệu lực
175,CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI AN TOÀN,ĐL-193CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI AN TOÀN,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận 8,"1593/2A Đường Phạm Thế Hiển, Phường 6",,Có hiệu lực
176,CÔNG TY CỔ PHẦN GAS TẤN TÀI,ĐL-194CÔNG TY CỔ PHẦN GAS TẤN TÀI,Đại lý tổng,,Tỉnh Đồng Nai,Thành phố Biên Hòa,"Số 35/20, Đường Thành Thái, ấp Tân Cang, Phường Phước Tân",,Có hiệu lực
177,CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI VÀ GIA CÔNG PHƯỚC TÂN ANH,ĐL-195CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI VÀ GIA CÔNG PHƯỚC TÂN ANH,Đại lý tổng,,Tỉnh Bình Dương,Thị xã Bến Cát,"Thửa đất số 1208, tờ bản đồ số 41, Khu Phố 3 - Phường Thới Hòa ",,Có hiệu lực
178,CÔNG TY TNHH THƯƠNG MẠI KHÍ HÓA LỎNG HƯỚNG DƯƠNG,ĐL-196CÔNG TY TNHH THƯƠNG MẠI KHÍ HÓA LỎNG HƯỚNG DƯƠNG,Đại lý tổng,,Tỉnh Tây Ninh,Huyện Châu Thành,"E1/21, ấp Cầy Xiêng, Xã Đồng Khởi",salesbd,Có hiệu lực
179,Hộ Kinh Doanh Cửa Hàng LPG Tấn Tài           ,ĐL-197Hộ Kinh Doanh Cửa Hàng LPG Tấn Tài           ,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận Bình Tân,"06 Đường Chiến Lược, - Phường Bình Trị Đông ",,Có hiệu lực
180,Hộ Kinh Doanh Quốc Tiến,ĐL-198Hộ Kinh Doanh Quốc Tiến,Đại lý tổng,,Tỉnh Bình Dương,Thị xã Bến Cát,"Đường NF4 Khu phố 5, - Phường Chánh Phú Hòa",salesbd,Có hiệu lực
181,Hộ Kinh Doanh Gas Huy Phong,ĐL-199Hộ Kinh Doanh Gas Huy Phong,Đại lý tổng,,Thành phố Hồ Chí Minh,Thành phố Thủ Đức,Số 81 Đường 6 - Phường Tăng Nhơn Phú B,saleshcm,Có hiệu lực
182,CÔNG TY TNHH LPG TRƯỜNG PHÁT,ĐL-200CÔNG TY TNHH LPG TRƯỜNG PHÁT,Đại lý tổng,,Thành phố Hồ Chí Minh,Huyện Bình Chánh,"D15/26E, ấp 4, Xã Tân Kiên",,Có hiệu lực
183,CÔNG TY TNHH GAS HỪNG SÁNG,ĐL-201CÔNG TY TNHH GAS HỪNG SÁNG,Đại lý tổng,,Thành phố Cần Thơ,Quận Bình Thuỷ,"Lô 30A6, Khu công nghiệp Trà Nóc, Phường Trà Nóc",,Có hiệu lực
184,HỘ KINH DOANH GAS NGỌC PHƯƠNG,ĐL-202HỘ KINH DOANH GAS NGỌC PHƯƠNG,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận 4,209/79A Tôn Thất Thuyết - phường 03 ,saleshcm,Có hiệu lực
185,Hộ Kinh Doanh Gas Đức Hiền,ĐL-203Hộ Kinh Doanh Gas Đức Hiền,Đại lý tổng,,Thành phố Hồ Chí Minh,Thành phố Thủ Đức,"86 H, Đường 61, Khu phố 6, Phường Phước Long B",saleshcm,Có hiệu lực
186,CÔNG TY TNHH  GỖ BEST VIỆT NAM,ĐL-204CÔNG TY TNHH  GỖ BEST VIỆT NAM,Đại lý thứ 2,Công ty TNHH Một Thành Viên Gas Mỹ Phước,Tỉnh Bình Dương,Huyện Dầu Tiếng,"Thửa đất số 215, Tờ bản đồ số 48 và Thửa đất số 392, Tờ bản đồ số 45, Ấp Kiến An ,Xã An Lập",salesbd,Có hiệu lực
187, HỘ KINH DOANH GAS BẢY AN,ĐL-205 HỘ KINH DOANH GAS BẢY AN,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Thuận An,"142 KP. Thạnh Phú, P. An Thạnh",salesbd,Có hiệu lực
188,Đại Lý Gas Hải Phương,ĐL-206Đại Lý Gas Hải Phương,Đại lý thứ 2,Hộ Kinh Doanh  LPG Chai Hải Phương,Thành phố Hồ Chí Minh,Quận 7,"431 Khu Phố 2, Lê Văn Lương, Phường Tân ",,Có hiệu lực
189,Hộ Kinh Doanh Cửa Hàng Bếp Hải Phương,ĐL-207Hộ Kinh Doanh Cửa Hàng Bếp Hải Phương,Đại lý thứ 2,Hộ Kinh Doanh  LPG Chai Hải Phương,Thành phố Hồ Chí Minh,Huyện Bình Chánh,"B6/194 Quốc lộ 50, ấp 2 - Xã Phong Phú ",,Có hiệu lực
190,CÔNG TY TNHH KHÍ ĐỐT TÂN TIẾN,ĐL-208CÔNG TY TNHH KHÍ ĐỐT TÂN TIẾN,Đại lý tổng,,Tỉnh Tiền Giang,Thị xã Cai Lậy,"Quốc Lộ 1A, Xã Phú Nhuận",saleshcm,Có hiệu lực
191,Hộ Kinh Doanh Phụng Nguyên,ĐL-209Hộ Kinh Doanh Phụng Nguyên,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận 10,342B Nguyễn Duy Dương P.09 - Phường 09,,Có hiệu lực
192,Cửa Hàng Gas Anh Tiệp,ĐL-210Cửa Hàng Gas Anh Tiệp,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Thủ Dầu Một,"220/97 Huỳnh Văn Lũy, tổ 61, khu 7, - Phường Phú Lợi ",salesbd,Có hiệu lực
193,Hộ Kinh Doanh Gas Hừng Đông Hố Nai,ĐL-211Hộ Kinh Doanh Gas Hừng Đông Hố Nai,Đại lý thứ 2,HỘ KINH DOANH GAS HOÀNG TÙNG,Tỉnh Đồng Nai,Thành phố Biên Hòa,"103/4, KP 4, - Phường Tân Hòa ",salesbd,Có hiệu lực
194,HỘ KINH DOANH NGUYỄN THỊ DOAN (THIỆN NHÂN),ĐL-212HỘ KINH DOANH NGUYỄN THỊ DOAN (THIỆN NHÂN),Đại lý tổng,,Tỉnh Bình Phước,Thành phố Đồng Xoài,"Ấp 2, Xã Tiến Hưng",salesbd,Có hiệu lực
195,Hộ Kinh Doanh Gas Đại Phát,ĐL-213Hộ Kinh Doanh Gas Đại Phát,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận 6,"969A Lò Gốm, Phường 08",saleshcm,Có hiệu lực
196,HỘ KINH DOANH GAS GIA ĐÌNH,ĐL-214HỘ KINH DOANH GAS GIA ĐÌNH,Đại lý tổng,,Thành phố Hồ Chí Minh,Huyện Bình Chánh,"14 Đường số 18, Phường Hiệp Bình Chánh",saleshcm,Có hiệu lực
197,HỘ KINH DOANH GAS ĐẠI PHÁT,ĐL-215HỘ KINH DOANH GAS ĐẠI PHÁT,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận 8,"27 Trương Đình Hội, Phường 16",saleshcm,Có hiệu lực
198,HỘ KINH DOANH GAS Á CHÂU,ĐL-216HỘ KINH DOANH GAS Á CHÂU,Đại lý tổng,,Thành phố Hồ Chí Minh,Huyện Bình Chánh,"86 Đường số 22, KDC Bình Hưng, Xã Bình Hưng",saleshcm,Có hiệu lực
199,CÔNG TY TNHH HẢI ÂU,ĐL-217CÔNG TY TNHH HẢI ÂU,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Dĩ An,"Thửa đất số 456C/8, Khu phố Nội Hóa 1, Phường Bình An",salesbd,Có hiệu lực
200,HỘ KINH DOANH GAS ĐẠI PHÁT 2,ĐL-218HỘ KINH DOANH GAS ĐẠI PHÁT 2,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận 8,"322 Tạ Quang Bửu, Phường 4",saleshcm,Có hiệu lực
201,CÔNG TY TNHH MỘT THÀNH VIÊN DỊCH VỤ VÀ THƯƠNG MẠI THIÊN HỮU LỘC PHÁT,ĐL-219CÔNG TY TNHH MỘT THÀNH VIÊN DỊCH VỤ VÀ THƯƠNG MẠI THIÊN HỮU LỘC PHÁT,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Thủ Dầu Một,"Lô HL-A1-ô 17, tờ bản đồ số 01, đường D27, khu tái định cư H, Phường Hoà Phú",salesbd,Có hiệu lực
202,CÔNG TY TNHH MỘT THÀNH VIÊN CUNG CẤP SUẤT ĂN CÔNG NGHIỆP LÊ HUY,ĐL-220CÔNG TY TNHH MỘT THÀNH VIÊN CUNG CẤP SUẤT ĂN CÔNG NGHIỆP LÊ HUY,Đại lý thứ 2,CỬA HÀNG GAS PHƯỚC HƯNG,Tỉnh Bình Dương,Thành phố Thủ Dầu Một,"Số 61/5 Khu phố Bình Quới A, Phường Bình Chuẩn",salesbd,Có hiệu lực
203,CÔNG TY TNHH THỰC PHẨM XANH LONG AN,ĐL-221CÔNG TY TNHH THỰC PHẨM XANH LONG AN,Đại lý thứ 2,Cửa Hàng Bán Lẻ LPG Chai Phương Anh,Tỉnh Long An,Huyện Thủ Thừa,"Lô A4-A7, Đường số 6, KCN Hòa Bình, Xã Nhị Thành",salesbd,Có hiệu lực
204,HỘ KINH DOANH GAS LAN ANH,ĐL-222HỘ KINH DOANH GAS LAN ANH,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận Tân Bình,254/98/12A âu Cơ - Phường 9,saleshcm,Có hiệu lực
205,CỬA HÀNG GAS HƯỚNG DƯƠNG,ĐL-223CỬA HÀNG GAS HƯỚNG DƯƠNG,Đại lý thứ 2,CÔNG TY TNHH THƯƠNG MẠI KHÍ HÓA LỎNG HƯỚNG DƯƠNG,Tỉnh Tây Ninh,Huyện Châu Thành,"E/21, tổ 5, ấp Cầy Xiêng - Xã Đồng Khởi",salesbd,Có hiệu lực
206,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI HONG MING,ĐL-224CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI HONG MING,Đại lý thứ 2,Công ty TNHH Một Thành Viên Gas Mỹ Phước,Tỉnh Bình Dương,Huyện Bàu Bàng,"Thửa đất số 821, Tờ bản đồ số 35, Tổ 03, ấp Cầu Đôi, Xã Lai Hưng",salesbd,Có hiệu lực
207,ĐẠI LÝ LPG HỪNG SÁNG,ĐL-225ĐẠI LÝ LPG HỪNG SÁNG,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Thuận An,"Kiốt số 6, 126A/2 khu phố 1B - Phường An Phú ",salesbd,Có hiệu lực
208,ĐẠI LÝ THANH BÌNH,ĐL-226ĐẠI LÝ THANH BÌNH,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Thuận An,5J/5 KP ĐồNG AN 1 - Phường Bình Hòa ,salesbd,Có hiệu lực
209,CÔNG TY TNHH THẾ GIỚI THỰC PHẨM TÂM ĐỨC,ĐL-227CÔNG TY TNHH THẾ GIỚI THỰC PHẨM TÂM ĐỨC,Đại lý thứ 2,Hộ Kinh Doanh Gas Đức Hiền,Thành phố Hồ Chí Minh,Thành phố Thủ Đức,"Số 253 Lê Văn Việt, Phường Hiệp Phú",saleshcm,Có hiệu lực
210,CÔNG TY CỔ PHẦN INTIMEX MỸ PHƯỚC,ĐL-228CÔNG TY CỔ PHẦN INTIMEX MỸ PHƯỚC,Đại lý thứ 2,Cửa Hàng Bán Lẻ LPG Chai Thuận Thành,Tỉnh Bình Dương,Thị xã Bến Cát,"Lô D-8E-CN, Khu công nghiệp Mỹ Phước 3, Phường Thới Hòa",salesbd,Có hiệu lực
211,CÔNG TY TNHH REMOTE SOLUTION VIỆT NAM,ĐL-229CÔNG TY TNHH REMOTE SOLUTION VIỆT NAM,Đại lý thứ 2,Cửa Hàng Bán Lẻ LPG Chai Thuận Thành,Tỉnh Bình Dương,Thị xã Bến Cát,"Lô D-5H-CN, khu công nghiệp Mỹ Phước 3, Phường Thới Hòa",salesbd,Có hiệu lực
212,CÔNG TY TNHH TM DV HUỲNH GIA HUY,ĐL-230CÔNG TY TNHH TM DV HUỲNH GIA HUY,Đại lý thứ 2,Cửa Hàng Gas Anh Tiệp,Tỉnh Bình Dương,Huyện Dầu Tiếng,"Thửa đất số 47, tờ bản đồ số 39, ấp Bưng Còng, Xã Thanh Tuyền",salesbd,Có hiệu lực
213,DOANH NGHIỆP TƯ NHÂN AN KHƯƠNG,ĐL-231DOANH NGHIỆP TƯ NHÂN AN KHƯƠNG,Đại lý thứ 2,,Thành phố Hồ Chí Minh,Quận Tân Phú,"21 Dân Tộc, Phường Tân Thành",salesbd,Có hiệu lực
214,CÔNG TY TNHH APPAREL FAR EASTERN (VIETNAM),ĐL-232CÔNG TY TNHH APPAREL FAR EASTERN (VIETNAM),Đại lý thứ 2,Cửa Hàng Bán Lẻ LPG Chai Thuận Thành,Tỉnh Bình Dương,Thành phố Thuận An,"Số 46, Đại lộ Tự Do, khu công nghiệp Việt Nam, Singapore, Phường Bình Hòa",salesbd,Có hiệu lực
215,CÔNG TY TNHH DŨNG AN THÀNH,ĐL-233CÔNG TY TNHH DŨNG AN THÀNH,Đại lý thứ 2,Cửa Hàng Bán Lẻ LPG Chai Phương Anh,Tỉnh Bình Dương,Thành phố Dĩ An,"Số 119 đường Nguyễn Thị MInh Khai, Khu phố Tân Long, PhườngTân Đông Hiệp",salesbd,Có hiệu lực
216,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI KỸ THUẬT HỒNG VIỆT,ĐL-234CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI KỸ THUẬT HỒNG VIỆT,Đại lý thứ 2,,Thành phố Hồ Chí Minh,Huyện Củ Chi,"403 Đường Tỉnh Lộ 8, ấp Tây, Xã Tân An Hội",saleshcm,Có hiệu lực
217,CÔNG TY TNHH MỘT THÀNH VIÊN SẢN XUẤT - THƯƠNG MẠI - DỊCH VỤ QUỐC TẾ HỒ NGUYỄN,ĐL-235CÔNG TY TNHH MỘT THÀNH VIÊN SẢN XUẤT - THƯƠNG MẠI - DỊCH VỤ QUỐC TẾ HỒ NGUYỄN,Đại lý thứ 2,,Thành phố Hồ Chí Minh,Quận Bình Tân,"67/56/4 Nguyễn Thị Tú, Khu phố 3, Phường Bình Hưng Hòa B",saleshcm,Có hiệu lực
218,HỘ KINH DOANH VÕ THỊ DUNG,ĐL-236HỘ KINH DOANH VÕ THỊ DUNG,Đại lý tổng,,Tỉnh Bình Dương,Thị xã Bến Cát,251 tổ 11 Tân Lập - Xã An Điền ,salesbd,Có hiệu lực
219,CÔNG TY TNHH DAIWON OPTICAL VIỆT NAM,ĐL-237CÔNG TY TNHH DAIWON OPTICAL VIỆT NAM,Đại lý thứ 2,Cửa Hàng Bán Lẻ LPG Chai Đông Thành MP,Tỉnh Bình Dương,Thị xã Bến Cát,"Lô B_6E17_CN, khu công nghiệp Mỹ Phước 3, Phường Thới Hòa",salesbd,Có hiệu lực
220,HỘ KINH DOANH AN BÌNH ( ĐỖ THỊ BÍCH LIÊN),ĐL-238HỘ KINH DOANH AN BÌNH ( ĐỖ THỊ BÍCH LIÊN),Đại lý tổng,,Tỉnh Bình Dương,Huyện Bàu Bàng,"Số 83, Lô B31, Đường N7, KDC 5B, KP Đồng Sổ,  Thị trấn Lai Uyên ",salesbd,Có hiệu lực
221,GAS THỊNH PHÁT THỚI HÒA,ĐL-239GAS THỊNH PHÁT THỚI HÒA,Đại lý tổng,,Tỉnh Bình Dương,Thị xã Bến Cát,"Thửa đất 1713, tờ bản đồ 38, đường D4B tổ 3, khu phố 5 - Phường Thới Hòa",salesbd,Có hiệu lực
222,HỘ KINH DOANH NGỌC ANH,ĐL-240HỘ KINH DOANH NGỌC ANH,Đại lý thứ 2,CỬA HÀNG BÁN LẺ LPG CHAI MẠNH ĐẠT,Thành phố Hồ Chí Minh,Thành phố Thủ Đức,"22 Đường 109, Khu phố 5, Phường Phước Long B",salesbd,Có hiệu lực
223,GAS KHÁNH VÂN,ĐL-241GAS KHÁNH VÂN,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận 7,"487/2C, Khu phố 1, đường Huỳnh Tấn Phát, phường Tân Thuận Đông",saleshcm,Có hiệu lực
224,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ GAS THANH BÌNH,ĐL-242CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ GAS THANH BÌNH,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận Bình Thạnh,"702 Xô Viết Nghệ Tĩnh, Phường 25",saleshcm,Có hiệu lực
225,HỘ KINH DOANH BÌNH AN,ĐL-243HỘ KINH DOANH BÌNH AN,Đại lý tổng,,Tỉnh Bình Dương,Huyện Bàu Bàng,"Đất của bà Lê Thị Thiệp,TĐS 1735-1736, TBĐ 41, ấp Bàu Bàng - Xã Lai Uyên",salesbd,Có hiệu lực
226,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ BÁCH NGỌC,ĐL-244CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ BÁCH NGỌC,Đại lý thứ 2,Cửa Hàng Bán Lẻ LPG Chai Thuận Thành,Tỉnh Bình Dương,Thị xã Bến Cát,"ô52 J45, Đường DJ9, tổ 14, Khu Phố 3b, Phường Thới Hòa",salesbd,Có hiệu lực
227,HỘ KINH DOANH GAS VINH HÙNG,ĐL-245HỘ KINH DOANH GAS VINH HÙNG,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận Tân Phú,"34/39A Hoàng Ngọc Phách, Phường Phú Thọ Hoà",,Có hiệu lực
228,CÔNG TY TNHH MỘT THÀNH VIÊN HAMACO PETRO,ĐL-246CÔNG TY TNHH MỘT THÀNH VIÊN HAMACO PETRO,Đại lý tổng,,Thành phố Cần Thơ,Quận Ninh Kiều,"55 Tầm Vu, Phường Hưng Lợi",saleshcm,Có hiệu lực
229,HỘ KINH DOANH CỬA HÀNG GAS VÀ BẾP GAS CHƯƠNG,ĐL-247HỘ KINH DOANH CỬA HÀNG GAS VÀ BẾP GAS CHƯƠNG,Đại lý tổng,,Thành phố Hồ Chí Minh,Huyện Củ Chi,"Số 113/1, đường 93, tổ 3, ấp Bến Đò 2, Xã Tân Phú Trung",saleshcm,Có hiệu lực
230,HỘ KINH DOANH GAS THÀNH LAI,ĐL-248HỘ KINH DOANH GAS THÀNH LAI,Đại lý tổng,,Thành phố Hồ Chí Minh,Huyện Củ Chi,"Số 268, Tỉnh lộ 8, ấp Mũi Lớn 1, Xã Tân An Hội",saleshcm,Có hiệu lực
231,HỘ KINH DOANH MINH PHONG,ĐL-249HỘ KINH DOANH MINH PHONG,Đại lý tổng,,Thành phố Hồ Chí Minh,Huyện Bình Chánh,"A8/26 ấp 1, Xã Vĩnh Lộc B",saleshcm,Có hiệu lực
232,CÔNG TY TNHH MỘT THÀNH VIÊN GAS HƯNG LONG,ĐL-250CÔNG TY TNHH MỘT THÀNH VIÊN GAS HƯNG LONG,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Dĩ An,"Số 73, Phạm Ngũ Lão, khu phố Thắng Lợi 2, Phường Dĩ An",,Có hiệu lực
233,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ SƠN AN PHONG,ĐL-251CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ SƠN AN PHONG,Đại lý thứ 2,,Tỉnh Bình Dương,Thành phố Thuận An,"Số 35/2 Khu Phố Bình Phước A, Phường Bình Chuẩn",salesbd,Có hiệu lực
234,CÔNG TY TNHH MỘT THÀNH VIÊN THỰC VI THIÊN,ĐL-252CÔNG TY TNHH MỘT THÀNH VIÊN THỰC VI THIÊN,Đại lý thứ 2,,Tỉnh Bình Dương,Thị xã Tân Uyên,"Thửa đất số 178, tờ bản đồ số 33, đường ĐT747B, tổ 6, khu phố Long Bình, Phường Khánh Bình",salesbd,Có hiệu lực
235,HỘ KINH DOANH BẢO CHÂU,ĐL-253HỘ KINH DOANH BẢO CHÂU,Đại lý tổng,,Thành phố Hồ Chí Minh,Huyện Hóc Môn,65/5B ấp Mỹ Hoà 1 X.Trung Chánh,saleshcm,Có hiệu lực
236,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI NGŨ KIM HUY HOÀNG,ĐL-254CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI NGŨ KIM HUY HOÀNG,Đại lý thứ 2,,Tỉnh Bình Dương,Thị xã Tân Uyên,"Thửa đất số 119, tờ bản đồ số 58, đường DH411, tổ 1, Khu phố 6, Phường Uyên Hưng",salesbd,Có hiệu lực
237,Hộ Kinh Doanh Đại Lý LPG Thiên Hương,ĐL-255Hộ Kinh Doanh Đại Lý LPG Thiên Hương,Đại lý tổng,,Thành phố Hồ Chí Minh,Huyện Bình Chánh,"A9/15X7 ấp 1, Xã Tân Kiên",saleshcm,Có hiệu lực
238,HỘ KINH DOANH NGUYỄN TRỌNG THÀNH,ĐL-256HỘ KINH DOANH NGUYỄN TRỌNG THÀNH,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Thuận An,"Kiốt số 1, 39/1 tổ 1C, Ấp Đồng An 2, Xã Bình Hòa",salesbd,Có hiệu lực
239,CÔNG TY CỔ PHẦN GĂNG VIỆT,ĐL-257CÔNG TY CỔ PHẦN GĂNG VIỆT,Đại lý thứ 2,HỘ KINH DOANH THÀNH PHÁT,Tỉnh Bình Dương,Huyện Bàu Bàng,"Thửa đất số 03, Tờ bản đồ số 37, ấp Cầu Sắt, Xã Lai Hưng",salesbd,Có hiệu lực
240,CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ NGŨ KIM HUY GIA,ĐL-258CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ NGŨ KIM HUY GIA,Đại lý thứ 2,,Tỉnh Bình Dương,Thị xã Tân Uyên,"Thửa đất số 444, Tờ bản đồ số 42, Tổ 6, Khu phố 5, Phường Uyên Hưng",salesbd,Có hiệu lực
241,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VIỆT HƯNG,ĐL-259CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VIỆT HƯNG,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận Phú Nhuận,"Số 415 Nguyễn Kiệm, Phường 09",saleshcm,Có hiệu lực
242,CÔNG TY TNHH MỘT THÀNH VIÊN THẢO ANH THY,ĐL-260CÔNG TY TNHH MỘT THÀNH VIÊN THẢO ANH THY,Đại lý thứ 2,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VIỆT HƯNG,Thành phố Hồ Chí Minh,Quận Bình Tân,"92/14 Lê Tấn Bê, Khu Phố 2, Phường An Lạc",saleshcm,Có hiệu lực
243,HỘ KINH DOANH CỬA HÀNG LPG VIP HÙNG KHUÊ,ĐL-261HỘ KINH DOANH CỬA HÀNG LPG VIP HÙNG KHUÊ,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận Phú Nhuận,"29/36 Đoàn Thị Điểm, Phường 1",saleshcm,Có hiệu lực
244,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ PHÚ MINH HƯNG,ĐL-262CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ PHÚ MINH HƯNG,Đại lý thứ 2,,Tỉnh Bình Dương,Huyện Bàu Bàng,"Số 30, tổ 2, ấp Đồng Sổ, Thị trấn Lai Uyên",salesbd,Có hiệu lực
245,CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ MẠNH HOÀNG PHÁT,ĐL-263CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ MẠNH HOÀNG PHÁT,Đại lý thứ 2,,Tỉnh Bình Dương,Thị xã Tân Uyên,"Thửa đất số 848, tờ bản đồ số 7, tổ 9, khu phố Tân Hóa, Phường Tân Vĩnh Hiệp",salesbd,Có hiệu lực
246,ĐẠI LÝ HƯNG THỊNH 1,ĐL-264ĐẠI LÝ HƯNG THỊNH 1,Đại lý thứ 2,CỬA HÀNG GAS PHƯỚC HƯNG,Tỉnh Bình Dương,Thị xã Tân Uyên,Thửa đất số 568 – Tờ bản đồ số 37 – Tổ 1 – KP. Tân Phú – P. Tân Hiệp,salesbd,Có hiệu lực
247,CÔNG TY TNHH MỘT THÀNH VIÊN SẢN XUẤT THƯƠNG MẠI DỊCH VỤ ĐẠI LIÊN CƯỜNG,ĐL-265CÔNG TY TNHH MỘT THÀNH VIÊN SẢN XUẤT THƯƠNG MẠI DỊCH VỤ ĐẠI LIÊN CƯỜNG,Đại lý thứ 2,Cửa Hàng Bán Lẻ LPG Chai Đông Thành MP,Tỉnh Bình Dương,Thị xã Tân Uyên,"Thửa đất 297, Tờ bản đồ 20, ấp Hóa Nhựt, Phường Tân Vĩnh Hiệp",salesbd,Có hiệu lực
248,HỘ KINH DOANH ĐỨC THẮNG DỤNG,ĐL-266HỘ KINH DOANH ĐỨC THẮNG DỤNG,Đại lý tổng,,Tỉnh Đồng Nai,Thành phố Biên Hòa,"136, Nguyễn Văn Tiên, Kp11, Phường Tân Phong",salesbd,Có hiệu lực
249,HỘ KINH DOANH HÙNG - TIÊN,ĐL-267HỘ KINH DOANH HÙNG - TIÊN,Đại lý tổng,,Tỉnh Bình Phước,Thị xã Phước Long,"Khu phố Long Điền 1, phường Long Phước",salesbd,Có hiệu lực
250,CÔNG TY TNHH THƯƠNG MẠI TRUNG NGUYÊN ANH,ĐL-268CÔNG TY TNHH THƯƠNG MẠI TRUNG NGUYÊN ANH,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận 12,"113/11/49/6B Đường TCH 33, Khu phố 7, phường Tân Chánh Hiệp",,Có hiệu lực
251,TRƯỜNG MẦM NON TÂN KHAI B,ĐL-269TRƯỜNG MẦM NON TÂN KHAI B,Đại lý thứ 2,HỘ KINH DOANH - ĐẠI LÝ GA MINH CHÂU,Tỉnh Bình Phước,Huyện Hớn Quản,"QL 13, tổ 1, ấp 1, Xã Tân Khai",salesbd,Có hiệu lực
252,TRƯỜNG MẪU GIÁO THANH AN,ĐL-270TRƯỜNG MẪU GIÁO THANH AN,Đại lý thứ 2,HỘ KINH DOANH - ĐẠI LÝ GA MINH CHÂU,Tỉnh Bình Phước,Huyện Hớn Quản,"Xã Thanh An, Xã Thanh An",salesbd,Có hiệu lực
