ID,Đại lý,Tên viết tắt,Phân loại đại lý,Đại lý mẹ,Tỉnh/Thành phố,Quận huyện,Địa chỉ,Quản lý,Có hiệu lực/Vô hiệu lực
37,CÔNG TY TNHH THƯƠNG MẠI DẦU KHÍ THÀNH PHỐ HỒ CHÍ MINH,ĐL-038CÔNG TY TNHH THƯƠNG MẠI DẦU KHÍ THÀNH PHỐ HỒ CHÍ MINH,Đại lý tổng,,Thành phố Hồ Chí Minh,Thành phố Thủ Đức,"451 Long Phước, ấp Phước Hậu, Phường Long Phước ",,Có hiệu lực
38,Cửa Hàng Kinh Doanh Văn Tiến ,ĐL-039Cửa Hàng Kinh Doanh Văn Tiến ,Đại lý thứ 2,CÔNG TY TNHH DẦU KHÍ BẮC SÀI GÒN,Thành phố Hồ Chí Minh,Thành phố Thủ Đức,"23 Đường Einstein KP4 P.Bình Thọ, Phường Bình Thọ",saleshcm,Có hiệu lực
39,Cửa Hàng Bán Lẻ LPG Chai Đông Thành MP,ĐL-040 ĐÔNG THÀNH DB8 (MP2),Đại lý tổng,,Tỉnh Bình Dương,Thị xã Bến Cát,"Đất của ông Trương Công Trung, đường DB8, KP3",salesbd,Có hiệu lực
40,Cửa Hàng Bán Lẻ LPG Chai Gia Nguyên ,ĐL-041Cửa Hàng Bán Lẻ LPG Chai Gia Nguyên ,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Thuận An,"Kiốt số 6, 6/1 Khu Phố 1A, Phường An Phú",salesbd,Có hiệu lực
41,CÔNG TY TNHH DẦU KHÍ ĐỒNG AN,ĐL-042CÔNG TY TNHH DẦU KHÍ ĐỒNG AN,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Thuận An,"Số 7/4 Khu phố Đông , Phường Vĩnh Phú ",,Có hiệu lực
42,CÔNG TY TNHH CÔNG NGHIỆP TÂN HIỆP PHONG,ĐL-044CÔNG TY TNHH CÔNG NGHIỆP TÂN HIỆP PHONG,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Dĩ An,"Số 12, đường DT743, khu công nghiệp Sóng Thần 2, Phường Dĩ An",,Có hiệu lực
43,CÔNG TY TNHH BIỂN MỘC,ĐL-045CÔNG TY TNHH BIỂN MỘC,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận 1,"Số 15K Nguyễn Thị Minh Khai, Phường Bến Nghé",,Có hiệu lực
44,CÔNG TY TNHH MỘT THÀNH VIÊN ĐẦU TƯ THIẾT BỊ VĂN PHÒNG ĐẠI DƯƠNG XANH,ĐL-046CÔNG TY TNHH MỘT THÀNH VIÊN ĐẦU TƯ THIẾT BỊ VĂN PHÒNG ĐẠI DƯƠNG XANH,Đại lý tổng,,Thành phố Hồ Chí Minh,Thành phố Thủ Đức,"Số 1/9B Lã Xuân Oai, khu phố Phước Hiệp, Phường Long Trường",,Có hiệu lực
45,Cửa Hàng Bán Lẻ LPG Chai Thuận Thành,ĐL-047 THUẬN THÀNH MP,Đại lý tổng,,Tỉnh Bình Dương,Thị xã Bến Cát,"Đường DJ10 Khu Phố 3B, - Phường Thới Hòa",salesbd,Có hiệu lực
46,CỬA HÀNG BÁN LẺ LPG CHAI MẠNH ĐẠT,ĐL-049CỬA HÀNG BÁN LẺ LPG CHAI MẠNH ĐẠT,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Dĩ An,"Tổ 17, ấp Chiêu Liêu - Phường Tân Đông Hiệp",salesbd,Có hiệu lực
47,CÔNG TY TNHH MỘT THÀNH VIÊN NHỊ QUYÊN,ĐL-050CÔNG TY TNHH MỘT THÀNH VIÊN NHỊ QUYÊN,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Thuận An,"Số 4/98, Tổ 4, Khu phố Bình Thuận 1, Phường Thuận Giao",,Có hiệu lực
